test_id,test_name,healthians_parameter_id,is_available,display_order,parameter_key,unit,meaning,lower_range_male,higher_range_male,lower_range_female,higher_range_female,causes_when_high,causes_when_low,effects_when_high,effects_when_low,what_to_do_when_low,what_to_do_when_high,parameter_type,price,original_price,is_most_popular,gender_suitability
55,VLDL Cholestrol,,TRUE,,vldl_cholestrol,,"VLDL is a type of lipoprotein produced by the liver that carries triglycerides and cholesterol through the bloodstream to muscles and fat tissue. As it deposits triglycerides, it gradually converts into LDL - the cholesterol-rich particle commonly associated with cardiovascular risk.",,,,,"Refined carbohydrates, sugar, alcohol, excess calorie intake, obesity, and insulin resistance all raise VLDL levels, while very low fat diets or certain medications can cause levels to fall below normal.","Refined carbohydrates, sugar, alcohol, excess calorie intake, obesity, and insulin resistance all raise VLDL levels, while very low fat diets or certain medications can cause levels to fall below normal.","Elevated VLDL contributes to higher LDL production and increased triglyceride levels, raising the overall risk of cardiovascular disease and arterial plaque buildup, whereas low VLDL is generally not a concern and often reflects healthy metabolic function.","Elevated VLDL contributes to higher LDL production and increased triglyceride levels, raising the overall risk of cardiovascular disease and arterial plaque buildup, whereas low VLDL is generally not a concern and often reflects healthy metabolic function.",Low VLDL requires no intervention and is generally a positive indicator of good metabolic and cardiovascular health.,"Reduce refined carbohydrates, sugar, and alcohol intake, maintain a healthy weight, and incorporate regular physical activity - levels often improve within 2–4 weeks of consistent dietary changes.",test,,,FALSE,
21,GGPT,,TRUE,,ggpt_value,U/L,"GGT is an enzyme found throughout the body, with the highest concentration in the liver. It is one of the most sensitive markers for liver and bile duct stress, and is commonly elevated in conditions that cause damage to these organs. It is also frequently used alongside other liver markers to get a clearer picture of liver health.",5,55,5,38,"High GGT is most strongly associated with alcohol consumption, even at moderate levels. Fatty liver, bile duct problems, certain medications, obesity, and insulin resistance are also common contributors. Low GGT is generally not a concern and holds little clinical significance.","High GGT is most strongly associated with alcohol consumption, even at moderate levels. Fatty liver, bile duct problems, certain medications, obesity, and insulin resistance are also common contributors. Low GGT is generally not a concern and holds little clinical significance.","Persistently elevated GGT reflects ongoing stress or damage to the liver or bile ducts, which over time can contribute to progressive liver disease if the underlying cause is not addressed. It is often asymptomatic in early stages, making it an important early warning marker.","Persistently elevated GGT reflects ongoing stress or damage to the liver or bile ducts, which over time can contribute to progressive liver disease if the underlying cause is not addressed. It is often asymptomatic in early stages, making it an important early warning marker.",Low GGT does not require any action and is not associated with any known health concern.,"Reducing or eliminating alcohol is the single most impactful step, with levels often dropping significantly within 2–4 weeks. Losing excess weight, improving metabolic health, and reviewing medications with a doctor can also help normalise levels over 1–3 months.",test,,,FALSE,
7,RDW,,TRUE,,rdw,%,"RDW measures the variation in size among your red blood cells - essentially how uniform or inconsistent they are in shape. A higher value means there is greater size variation, which is often a sign that red blood cell production is being disrupted in some way. It is a useful early indicator of nutritional deficiencies, blood disorders, or chronic inflammation. RDW is best interpreted alongside MCV and hemoglobin for a more complete understanding.",11.6,14,11.6,14,"Iron, B12, or folate deficiencies cause newly produced cells to differ significantly in size from older ones raising RDW, while recent blood loss, transfusions, and chronic diseases can also contribute to increased size variation across red blood cells.","Iron, B12, or folate deficiencies cause newly produced cells to differ significantly in size from older ones raising RDW, while recent blood loss, transfusions, and chronic diseases can also contribute to increased size variation across red blood cells.","A high RDW indicates that red blood cells are inconsistent in size, which reduces their overall efficiency in carrying oxygen and may signal an underlying nutritional deficiency or chronic condition that needs attention. A low RDW is generally not a concern on its own.","A high RDW indicates that red blood cells are inconsistent in size, which reduces their overall efficiency in carrying oxygen and may signal an underlying nutritional deficiency or chronic condition that needs attention. A low RDW is generally not a concern on its own.",A low RDW typically requires no intervention as it reflects good uniformity in red blood cell size. Maintaining a balanced diet rich in key nutrients is sufficient to keep it within the healthy range.,"Identify and correct the underlying nutritional deficiency — whether iron, B12, or folate — through dietary improvements or supplementation under medical guidance. Managing any chronic inflammation or disease also helps restore uniformity in red blood cell production over time",test,,,FALSE,
11,Lymphocytes,,TRUE,,lymphocytes,%,"Lymphocytes are a key type of white blood cell that form the backbone of the immune system, responsible for recognizing and fighting off infections, foreign threats, and abnormal cells. Their count reflects the percentage of lymphocytes among all white blood cells and is one of the most important markers for assessing the overall strength and activity of the immune system.",20,40,20,40,"Viral infections commonly cause a temporary spike in lymphocyte levels as the immune system mounts a response, while HIV, certain autoimmune disorders, chemotherapy, prolonged severe stress, and certain medications can significantly reduce lymphocyte counts below normal.","Viral infections commonly cause a temporary spike in lymphocyte levels as the immune system mounts a response, while HIV, certain autoimmune disorders, chemotherapy, prolonged severe stress, and certain medications can significantly reduce lymphocyte counts below normal.","Elevated lymphocytes are often a sign that the body is actively fighting a viral infection, and in rare cases persistently high counts may indicate a blood-related condition, whereas low levels suggest a weakened immune system making the body more vulnerable to infections and slower to recover from illness.","Elevated lymphocytes are often a sign that the body is actively fighting a viral infection, and in rare cases persistently high counts may indicate a blood-related condition, whereas low levels suggest a weakened immune system making the body more vulnerable to infections and slower to recover from illness.","Support immune health through adequate sleep, a protein-rich diet, and sufficient zinc and vitamin D intake, and consult a doctor if the cause is linked to medications or an autoimmune condition.","Usually resolves on its own once the underlying infection clears, typically within 1–2 weeks, though persistently elevated counts without an obvious cause should be evaluated by a doctor.",test,,,FALSE,
1,Hemoglobin Hb,,TRUE,,hemoglobin,g/dL,"Hemoglobin is an iron-rich protein found in red blood cells that is responsible for carrying oxygen from the lungs to every part of the body. It also gives blood its characteristic red colour. Healthy hemoglobin levels are essential for sustained energy, mental clarity, and physical performance. Abnormal levels are one of the most common indicators of nutritional deficiencies or underlying health conditions.",13,17,12,15,"Low levels are commonly caused by insufficient iron, vitamin B12, or folate intake, blood loss, or chronic conditions, while high levels can result from dehydration, high-altitude living, or intense physical training that stimulates excess red blood cell production.","Low levels are commonly caused by insufficient iron, vitamin B12, or folate intake, blood loss, or chronic conditions, while high levels can result from dehydration, high-altitude living, or intense physical training that stimulates excess red blood cell production.","Low hemoglobin leads to fatigue, weakness, poor concentration, and reduced physical capacity, whereas abnormally high levels can thicken the blood, increasing the risk of clotting and circulation issues.","Low hemoglobin leads to fatigue, weakness, poor concentration, and reduced physical capacity, whereas abnormally high levels can thicken the blood, increasing the risk of clotting and circulation issues.","Increase intake of iron-rich foods such as red meat, leafy greens, and legumes, and pair them with vitamin C to improve absorption. Address any sources of blood loss and consult a doctor if supplementation is needed. Expect gradual improvement over 8–12 weeks with consistent changes.",Stay well hydrated and consult a doctor to rule out any underlying condition driving excess red blood cell production. Avoid unnecessary iron supplementation unless prescribed.,test,,,FALSE,
121,Thyroid Health,,TRUE,,thyroid_health,,"Thyroid health refers to the overall functional state of the thyroid gland — a small butterfly-shaped gland in the neck that produces hormones regulating metabolism, energy production, body temperature, heart rate, and the function of virtually every organ system in the body. It is assessed through a combination of markers including TSH, T3, T4, and thyroid antibodies, making it a broad but critical indicator of metabolic and hormonal balance throughout the body.",,,,,"Autoimmune conditions such as Hashimoto's thyroiditis and Graves' disease, iodine deficiency or excess, chronic stress, poor sleep, nutritional deficiencies in selenium and zinc, exposure to environmental toxins, genetic predisposition, and certain medications can all disrupt thyroid function and push it toward either underactivity or overactivity.","Autoimmune conditions such as Hashimoto's thyroiditis and Graves' disease, iodine deficiency or excess, chronic stress, poor sleep, nutritional deficiencies in selenium and zinc, exposure to environmental toxins, genetic predisposition, and certain medications can all disrupt thyroid function and push it toward either underactivity or overactivity.","Poor thyroid health can manifest as fatigue, weight changes, mood disturbances, hair loss, temperature sensitivity, irregular heart rhythms, fertility issues, and cognitive impairment depending on whether the gland is underactive or overactive, whereas optimal thyroid function supports healthy metabolism, stable energy levels, hormonal balance, and overall physical and mental wellbeing.","Poor thyroid health can manifest as fatigue, weight changes, mood disturbances, hair loss, temperature sensitivity, irregular heart rhythms, fertility issues, and cognitive impairment depending on whether the gland is underactive or overactive, whereas optimal thyroid function supports healthy metabolism, stable energy levels, hormonal balance, and overall physical and mental wellbeing.","Good thyroid health is a positive finding — maintain adequate intake of key thyroid-supporting nutrients including iodine, selenium, and zinc through a balanced diet, manage chronic stress effectively, prioritize quality sleep, and avoid excessive exposure to environmental toxins to support continued healthy thyroid function.","Consult a doctor for a comprehensive thyroid evaluation including TSH, T3, T4, and antibody testing to identify the specific nature of the dysfunction, and address contributing lifestyle factors such as chronic stress, nutritional deficiencies, and poor sleep alongside any prescribed medical or hormonal therapy for meaningful and sustained improvement in thyroid function over time.",metric,,,FALSE,
65,FSH,,TRUE,,fsh,mIU/mL,"FSH is a hormone produced by the pituitary gland that plays a key role in regulating reproductive function in both men and women. In women, it stimulates the growth and maturation of ovarian follicles, which are essential for ovulation and egg production. In men, it supports sperm production in the testes. FSH works closely alongside LH to maintain hormonal balance and fertility. It is a critical marker when evaluating menstrual irregularities, fertility concerns, or suspected hormonal disorders.",,,,,"In women, menopause, premature ovarian insufficiency, or diminished ovarian reserve can significantly raise FSH levels, while in men, testicular damage or failure can drive levels higher. Low FSH in both sexes is commonly associated with pituitary gland dysfunction, chronic stress, very low body weight, or excessive physical training that suppresses hormonal signaling.","In women, menopause, premature ovarian insufficiency, or diminished ovarian reserve can significantly raise FSH levels, while in men, testicular damage or failure can drive levels higher. Low FSH in both sexes is commonly associated with pituitary gland dysfunction, chronic stress, very low body weight, or excessive physical training that suppresses hormonal signaling.","Elevated FSH often indicates that the pituitary gland is working harder to stimulate reproductive organs that are responding poorly, which can lead to fertility difficulties and irregular or absent periods in women, whereas low FSH reduces the stimulation needed for ovulation and sperm production, directly impairing fertility in both sexes.","Elevated FSH often indicates that the pituitary gland is working harder to stimulate reproductive organs that are responding poorly, which can lead to fertility difficulties and irregular or absent periods in women, whereas low FSH reduces the stimulation needed for ovulation and sperm production, directly impairing fertility in both sexes.","Address contributing lifestyle factors such as chronic stress, inadequate nutrition, or overtraining that may be suppressing pituitary output. If a pituitary disorder is suspected, medical evaluation and possible hormonal therapy under a doctor's supervision would be the recommended course of action.","Consult a doctor for a thorough hormonal evaluation, particularly if fertility is a concern. High FSH in women may warrant further investigation into ovarian reserve, and medical or assisted reproductive options may be discussed depending on the findings.",test,,,FALSE,
66,Prolactin,,TRUE,,prolactin,ng/ml,"Prolactin is a hormone produced by the pituitary gland, best known for stimulating breast milk production after childbirth. However, it also plays an important role in reproductive function in both men and women. Elevated levels can suppress testosterone and estrogen, leading to fertility issues and hormonal imbalances. It is a key marker when investigating unexplained reproductive concerns, irregular periods, or low testosterone.",4,15,3.34,26.72,"Pituitary gland tumors can cause significantly elevated prolactin levels, while commonly used medications such as antipsychotics, antidepressants, and acid blockers are also frequent contributors. Acute physical or emotional stress can cause a temporary rise as well.","Pituitary gland tumors can cause significantly elevated prolactin levels, while commonly used medications such as antipsychotics, antidepressants, and acid blockers are also frequent contributors. Acute physical or emotional stress can cause a temporary rise as well.","Persistently high prolactin can suppress reproductive hormones, leading to reduced libido, fertility difficulties, irregular or absent periods in women, and low testosterone in men, whereas abnormally low levels are rare but may be associated with pituitary gland dysfunction.","Persistently high prolactin can suppress reproductive hormones, leading to reduced libido, fertility difficulties, irregular or absent periods in women, and low testosterone in men, whereas abnormally low levels are rare but may be associated with pituitary gland dysfunction.",Low prolactin levels are uncommon and rarely require direct treatment on their own. A doctor should evaluate pituitary function if levels are significantly below normal alongside other hormonal abnormalities.,"Review current medications with a doctor, as stopping or switching a causative drug often normalizes levels within weeks. If a pituitary tumor is identified as the cause, targeted medical or surgical treatment may be required.",test,,,FALSE,
64,LH,,TRUE,,lh,,"LH is a hormone produced by the pituitary gland that plays a central role in reproductive function in both men and women. In women, it triggers ovulation and helps regulate the menstrual cycle, while in men it signals the testes to produce testosterone. It works in close coordination with FSH to maintain hormonal balance and fertility. Abnormal LH levels are often one of the first indicators of reproductive or pituitary gland issues.",,,,,"In women, conditions like polycystic ovary syndrome (PCOS) or menopause can elevate LH, while in men, testicular failure or hormonal disorders can push levels higher. Low LH in both sexes is commonly linked to high stress, low body weight, excessive exercise, or pituitary gland dysfunction that reduces hormone signaling.","In women, conditions like polycystic ovary syndrome (PCOS) or menopause can elevate LH, while in men, testicular failure or hormonal disorders can push levels higher. Low LH in both sexes is commonly linked to high stress, low body weight, excessive exercise, or pituitary gland dysfunction that reduces hormone signaling.","Abnormally high LH can disrupt ovulation and menstrual regularity in women and impair testosterone production signaling in men, whereas low LH can lead to reduced fertility, irregular or absent periods, low testosterone, and decreased libido in both sexes.","Abnormally high LH can disrupt ovulation and menstrual regularity in women and impair testosterone production signaling in men, whereas low LH can lead to reduced fertility, irregular or absent periods, low testosterone, and decreased libido in both sexes.","Address lifestyle factors that may be suppressing pituitary function such as chronic stress, very low body weight, or overtraining. If a pituitary disorder is suspected, medical evaluation and possible hormonal support under a doctor's guidance would be the appropriate course of action.","Consult a doctor to identify the root cause, whether it is PCOS, menopause, or a testicular condition. Treatment depends entirely on the confirmed diagnosis and may involve hormonal therapy or targeted medical management.",test,,,FALSE,
70,Absolute Lymphocyte Count,,TRUE,,absolute_lymphocyte_count,10^3/uL,"Absolute Lymphocyte Count measures the exact number of lymphocytes - a key type of white blood cell - present in your blood. Lymphocytes are central to your immune system, helping the body recognize and fight off infections and foreign threats. Monitoring it helps assess how well your body is equipped to defend itself.",1.4,3.5,1,3,"Viral infections commonly cause a temporary spike in lymphocyte levels as the immune system mounts a response. HIV, certain autoimmune disorders, chemotherapy, or prolonged severe stress can significantly reduce lymphocyte counts.","Viral infections commonly cause a temporary spike in lymphocyte levels as the immune system mounts a response. HIV, certain autoimmune disorders, chemotherapy, or prolonged severe stress can significantly reduce lymphocyte counts.","A weakened immune system, making the body more vulnerable to infections and slower to recover from illness. In rare cases, persistently high counts may indicate a blood-related condition.","A weakened immune system, making the body more vulnerable to infections and slower to recover from illness. In rare cases, persistently high counts may indicate a blood-related condition.","Support immune health through adequate sleep, a protein-rich diet, and sufficient zinc and vitamin D intake. Avoid unnecessary stress, and consult a doctor if the cause is linked to medications like chemotherapy or an autoimmune condition.","Usually resolves on its own once the underlying infection clears, typically within 1–2 weeks. If counts remain elevated without an obvious cause, consult a doctor for further evaluation.",test,,,FALSE,
